iter	Passed	Remaining
401	13430	19978
402	13460	19940
403	13490	19902
404	13521	19865
405	13550	19824
406	13581	19787
407	13610	19748
408	13636	19705
409	13665	19665
410	13696	19628
411	13727	19592
412	13757	19553
413	13787	19515
414	13820	19481
415	13851	19444
416	13877	19401
417	13909	19367
418	13939	19329
419	13968	19289
420	13994	19246
421	14025	19209
422	14055	19172
423	14084	19133
424	14114	19096
425	14143	19057
426	14170	19015
427	14201	18978
428	14228	18938
429	14259	18902
430	14287	18862
431	14317	18824
432	14349	18789
433	14378	18751
434	14410	18717
435	14441	18681
436	14471	18643
437	14507	18615
438	14542	18583
439	14574	18549
440	14614	18525
441	14647	18491
442	14682	18460
443	14714	18426
444	14746	18391
445	14774	18352
446	14803	18314
447	14833	18277
448	14867	18245
449	14896	18206
450	14923	18165
451	14955	18131
452	14985	18095
453	15015	18058
454	15048	18024
455	15079	17990
456	15105	17948
457	15140	17916
458	15172	17882
459	15202	17846
460	15231	17808
461	15261	17772
462	15289	17733
463	15319	17697
464	15347	17657
465	15377	17621
466	15406	17584
467	15440	17552
468	15471	17516
469	15499	17477
470	15528	17440
471	15560	17406
472	15590	17370
473	15621	17335
474	15651	17299
475	15679	17260
476	15709	17224
477	15742	17191
478	15775	17159
479	15811	17129
480	15846	17098
481	15880	17066
482	15914	17034
483	15950	17004
484	15985	16974
485	16014	16936
486	16044	16900
487	16070	16861
488	16098	16822
489	16130	16788
490	16158	16751
491	16186	16712
492	16211	16672
493	16240	16634
494	16269	16598
495	16298	16561
496	16329	16526
497	16360	16492
498	16389	16455
499	16417	16417
500	16447	16381
501	16476	16345
502	16507	16310
503	16535	16272
504	16569	16241
505	16597	16204
506	16630	16170
507	16660	16136
508	16693	16103
509	16722	16066
510	16748	16027
511	16776	15990
512	16805	15953
513	16832	15915
514	16863	15881
515	16892	15844
516	16920	15807
517	16948	15770
518	16976	15733
519	17009	15701
520	17039	15665
521	17073	15634
522	17109	15604
523	17165	15593
524	17208	15569
525	17244	15539
526	17284	15513
527	17322	15485
528	17360	15457
529	17395	15425
530	17426	15391
531	17461	15360
532	17498	15331
533	17532	15300
534	17568	15269
535	17602	15238
536	17640	15209
537	17678	15181
538	17715	15152
539	17751	15121
540	17785	15089
541	17820	15059
542	17853	15025
543	17886	14992
544	17916	14958
545	17950	14925
546	17985	14894
547	18021	14864
548	18055	14832
549	18087	14798
550	18118	14764
551	18149	14730
552	18181	14696
553	18213	14663
554	18247	14631
555	18280	14597
556	18313	14565
557	18345	14531
558	18379	14500
559	18416	14469
560	18452	14439
561	18482	14404
562	18515	14371
563	18556	14345
564	18590	14313
565	18621	14278
566	18654	14245
567	18685	14211
568	18716	14176
569	18744	14140
570	18776	14106
571	18806	14072
572	18836	14037
573	18865	14001
574	18897	13967
575	18924	13930
576	18949	13892
577	18978	13856
578	19006	13819
579	19032	13781
580	19061	13746
581	19092	13712
582	19119	13675
583	19148	13639
584	19176	13603
585	19205	13568
586	19235	13533
587	19263	13497
588	19292	13462
589	19320	13426
590	19350	13391
591	19378	13355
592	19406	13319
593	19436	13284
594	19466	13250
595	19492	13213
596	19522	13178
597	19551	13143
598	19581	13108
599	19611	13074
600	19645	13042
601	19678	13009
602	19712	12977
603	19743	12944
604	19778	12913
605	19815	12883
606	19852	12853
607	19887	12822
608	19915	12786
609	19946	12752
610	19977	12719
611	20011	12687
612	20042	12653
613	20073	12619
614	20103	12585
615	20131	12549
616	20159	12513
617	20188	12479
618	20217	12444
619	20246	12408
620	20274	12373
621	20306	12340
622	20338	12307
623	20367	12272
624	20394	12236
625	20421	12200
626	20449	12165
627	20481	12132
628	20510	12097
629	20539	12062
630	20571	12029
631	20601	11995
632	20629	11960
633	20662	11928
634	20691	11893
635	20722	11859
636	20750	11825
637	20780	11790
638	20810	11756
639	20837	11721
640	20869	11688
641	20902	11656
642	20931	11621
643	20964	11588
644	20997	11556
645	21028	11523
646	21060	11490
647	21096	11459
648	21129	11427
649	21162	11395
650	21192	11361
651	21220	11326
652	21251	11292
653	21279	11257
654	21309	11223
655	21338	11189
656	21363	11153
657	21391	11118
658	21422	11084
659	21455	11052
660	21482	11017
661	21508	10981
662	21537	10947
663	21564	10912
664	21595	10878
665	21623	10844
666	21652	10810
667	21680	10775
668	21708	10740
669	21739	10707
670	21771	10674
671	21798	10639
672	21827	10605
673	21854	10570
674	21884	10536
675	21910	10501
676	21938	10467
677	21966	10432
678	21996	10398
679	22029	10366
680	22061	10334
681	22089	10299
682	22120	10266
683	22153	10234
684	22187	10202
685	22218	10169
686	22249	10136
687	22279	10103
688	22314	10072
689	22348	10040
690	22384	10009
691	22418	9978
692	22457	9948
693	22491	9916
694	22520	9883
695	22553	9850
696	22584	9818
697	22617	9785
698	22649	9753
699	22679	9719
700	22707	9685
701	22736	9651
702	22763	9617
703	22792	9583
704	22824	9550
705	22850	9515
706	22879	9481
707	22910	9448
708	22939	9415
709	22967	9381
710	22999	9348
711	23032	9316
712	23070	9286
713	23106	9255
714	23142	9224
715	23180	9194
716	23218	9164
717	23255	9133
718	23289	9102
719	23323	9070
720	23361	9040
721	23393	9007
722	23427	8975
723	23462	8944
724	23501	8914
725	23541	8884
726	23579	8854
727	23616	8823
728	23675	8801
729	23730	8777
730	23774	8748
731	23811	8717
732	23841	8684
733	23869	8650
734	23902	8617
735	23931	8583
736	23960	8550
737	23991	8517
738	24020	8483
739	24049	8449
740	24081	8417
741	24108	8382
742	24137	8349
743	24163	8314
744	24191	8280
745	24219	8246
746	24244	8211
747	24273	8177
748	24306	8145
749	24334	8111
750	24360	8076
751	24391	8043
752	24419	8010
753	24449	7977
754	24478	7943
755	24512	7911
756	24544	7878
757	24575	7846
758	24603	7812
759	24631	7778
760	24660	7744
761	24692	7712
762	24720	7678
763	24750	7645
764	24784	7613
765	24816	7581
766	24850	7549
767	24885	7517
768	24918	7485
769	24953	7453
770	24988	7422
771	25024	7390
772	25058	7358
773	25088	7325
774	25122	7293
775	25153	7260
776	25183	7227
777	25215	7195
778	25248	7162
779	25277	7129
780	25310	7097
781	25342	7064
782	25373	7032
783	25402	6998
784	25434	6966
785	25467	6933
786	25499	6901
787	25531	6868
788	25558	6835
789	25587	6801
790	25617	6768
791	25646	6735
792	25676	6702
793	25704	6668
794	25731	6635
795	25763	6602
796	25790	6568
797	25820	6535
798	25847	6502
799	25878	6469
800	25909	6437
801	25942	6404
802	25970	6371
803	26000	6338
804	26032	6306
805	26066	6274
806	26097	6241
807	26132	6209
808	26164	6177
809	26197	6145
810	26227	6112
811	26265	6081
812	26300	6049
813	26334	6017
814	26365	5984
815	26395	5952
816	26425	5919
817	26455	5886
818	26486	5853
819	26516	5820
820	26546	5787
821	26575	5754
822	26606	5722
823	26634	5688
824	26662	5655
825	26692	5622
826	26722	5590
827	26752	5557
828	26780	5524
829	26811	5491
830	26839	5458
831	26865	5424
832	26893	5391
833	26924	5358
834	26952	5325
835	26981	5292
836	27012	5260
837	27040	5227
838	27070	5194
839	27102	5162
840	27132	5129
841	27160	5096
842	27190	5063
843	27218	5030
844	27247	4997
845	27275	4965
846	27302	4931
847	27332	4899
848	27362	4866
849	27397	4834
850	27428	4802
851	27462	4770
852	27514	4741
853	27565	4712
854	27599	4680
855	27630	4648
856	27661	4615
857	27690	4582
858	27718	4549
859	27747	4517
860	27776	4484
861	27808	4451
862	27835	4418
863	27866	4386
864	27895	4353
865	27929	4321
866	27959	4289
867	27984	4255
868	28016	4223
869	28047	4190
870	28074	4157
871	28105	4125
872	28133	4092
873	28163	4060
874	28194	4027
875	28226	3995
876	28256	3963
877	28286	3930
878	28314	3897
879	28346	3865
880	28374	3832
881	28403	3799
882	28432	3767
883	28459	3734
884	28487	3701
885	28517	3669
886	28544	3636
887	28573	3603
888	28604	3571
889	28630	3538
890	28663	3506
891	28695	3474
892	28729	3442
893	28759	3409
894	28802	3379
895	28849	3348
896	28890	3317
897	28931	3286
898	28971	3254
899	29010	3223
900	29047	3191
901	29084	3159
902	29118	3127
903	29155	3096
904	29189	3064
905	29223	3032
906	29256	2999
907	29288	2967
908	29320	2935
909	29359	2903
910	29396	2871
911	29425	2839
912	29460	2807
913	29495	2775
914	29530	2743
915	29565	2711
916	29594	2678
917	29623	2646
918	29653	2613
919	29684	2581
920	29714	2548
921	29741	2516
922	29771	2483
923	29804	2451
924	29835	2419
925	29863	2386
926	29890	2353
927	29921	2321
928	29959	2289
929	29996	2257
930	30030	2225
931	30066	2193
932	30104	2161
933	30141	2129
934	30174	2097
935	30209	2065
936	30238	2033
937	30269	2000
938	30297	1968
939	30329	1935
940	30361	1903
941	30388	1871
942	30420	1838
943	30448	1806
944	30479	1773
945	30506	1741
946	30540	1709
947	30572	1676
948	30605	1644
949	30638	1612
950	30669	1580
951	30702	1548
952	30734	1515
953	30765	1483
954	30796	1451
955	30831	1419
956	30868	1386
957	30902	1354
958	30936	1322
959	30965	1290
960	30994	1257
961	31027	1225
962	31058	1193
963	31091	1161
964	31122	1128
965	31154	1096
966	31184	1064
967	31213	1031
968	31246	999
969	31278	967
970	31312	935
971	31341	902
972	31375	870
973	31407	838
974	31443	806
975	31477	774
976	31513	741
977	31546	709
978	31581	677
979	31616	645
980	31647	612
981	31676	580
982	31707	548
983	31739	516
984	31767	483
985	31797	451
986	31827	419
987	31858	386
988	31889	354
989	31919	322
990	31950	290
991	31979	257
992	32007	225
993	32035	193
994	32062	161
995	32092	128
996	32122	96
997	32148	64
998	32177	32
999	32206	0
