iter	Logloss
0	0.5599085522
1	0.4725457001
2	0.4292173515
3	0.3895602998
4	0.360693892
5	0.3319735563
6	0.3133571366
7	0.2961635505
8	0.2789985276
9	0.2677440365
10	0.2588818223
11	0.2502068478
12	0.2444335648
13	0.2371778737
14	0.2280120759
15	0.2243400482
16	0.2198908402
17	0.215586154
18	0.212906549
19	0.2111517675
20	0.2089453285
21	0.2049371908
22	0.2032058471
23	0.2017148166
24	0.2000262886
25	0.1972410068
26	0.1957056612
27	0.1943427214
28	0.1929461365
29	0.192480787
30	0.1914225657
31	0.1904826339
32	0.1896198949
33	0.1868894198
34	0.1860308806
35	0.1851309588
36	0.183519633
37	0.1823804104
38	0.1819497573
39	0.1810699809
40	0.1799861285
41	0.1788857195
42	0.1783192737
43	0.1778149992
44	0.1768651592
45	0.1764297033
46	0.1759680345
47	0.1755439748
48	0.1752628882
49	0.174538412
50	0.1738760487
51	0.1736457094
52	0.1729616765
53	0.1718690706
54	0.1717031751
55	0.1713819339
56	0.171119502
57	0.1704985469
58	0.1701583721
59	0.1699271463
60	0.1697619191
61	0.1690880196
62	0.1686035148
63	0.1682350926
64	0.1679110222
65	0.1676879049
66	0.1674060709
67	0.1673417612
68	0.1669263603
69	0.1667235049
70	0.1664946712
71	0.1658913345
72	0.165712537
73	0.1655123154
74	0.16523855
75	0.1647020836
76	0.1646143384
77	0.164467199
78	0.1643273614
79	0.1639039518
80	0.1637058314
81	0.1635076566
82	0.1631270611
83	0.1630199883
84	0.1628325685
85	0.1625693929
86	0.1622649411
87	0.1620510033
88	0.1619535985
89	0.1618431409
90	0.1616379948
91	0.161482589
92	0.1612492026
93	0.1611466525
94	0.1610058962
95	0.1606988106
96	0.1604953512
97	0.1603712704
98	0.160252214
99	0.159991538
100	0.1598658322
101	0.1597595181
102	0.1595134756
103	0.1593453595
104	0.1591454313
105	0.159011308
106	0.1587504652
107	0.158542165
108	0.1583677893
109	0.1582965289
110	0.1581755754
111	0.1579552187
112	0.1578825165
113	0.1578325475
114	0.157700036
115	0.1576586375
116	0.1575368093
117	0.1573218971
118	0.1571939853
119	0.1569723471
120	0.1568842935
121	0.1566843524
122	0.1564815067
123	0.1563386795
124	0.1562916313
125	0.155912659
126	0.1558663624
127	0.155808231
128	0.15571497
129	0.1555213668
130	0.1554134514
131	0.1552919259
132	0.1551830728
133	0.1551236782
134	0.1550250815
135	0.1549445866
136	0.1548009294
137	0.1546993315
138	0.1546147198
139	0.1545629663
140	0.1544662436
141	0.1543965249
142	0.1542306199
143	0.1541614227
